result   1 : a=   3, b=   4, c=   5
result   2 : a=   4, b=   3, c=   5
result   3 : a=   5, b=  12, c=  13
result   4 : a=   6, b=   8, c=  10
result   5 : a=   7, b=  24, c=  25
result   6 : a=   8, b=   6, c=  10
result   7 : a=   8, b=  15, c=  17
result   8 : a=   9, b=  12, c=  15
result   9 : a=   9, b=  40, c=  41
result  10 : a=  10, b=  24, c=  26
result  11 : a=  11, b=  60, c=  61
result  12 : a=  12, b=   5, c=  13
result  13 : a=  12, b=   9, c=  15
result  14 : a=  12, b=  16, c=  20
result  15 : a=  12, b=  35, c=  37
result  16 : a=  13, b=  84, c=  85
result  17 : a=  14, b=  48, c=  50
result  18 : a=  15, b=   8, c=  17
result  19 : a=  15, b=  20, c=  25
result  20 : a=  15, b=  36, c=  39
result  21 : a=  15, b= 112, c= 113
result  22 : a=  16, b=  12, c=  20
result  23 : a=  16, b=  30, c=  34
result  24 : a=  16, b=  63, c=  65
result  25 : a=  17, b= 144, c= 145
result  26 : a=  18, b=  24, c=  30
result  27 : a=  18, b=  80, c=  82
result  28 : a=  19, b= 180, c= 181
result  29 : a=  20, b=  15, c=  25
result  30 : a=  20, b=  21, c=  29
result  31 : a=  20, b=  48, c=  52
result  32 : a=  20, b=  99, c= 101
result  33 : a=  21, b=  20, c=  29
result  34 : a=  21, b=  28, c=  35
result  35 : a=  21, b=  72, c=  75
result  36 : a=  21, b= 220, c= 221
result  37 : a=  22, b= 120, c= 122
result  38 : a=  23, b= 264, c= 265
result  39 : a=  24, b=   7, c=  25
result  40 : a=  24, b=  10, c=  26
result  41 : a=  24, b=  18, c=  30
result  42 : a=  24, b=  32, c=  40
result  43 : a=  24, b=  45, c=  51
result  44 : a=  24, b=  70, c=  74
result  45 : a=  24, b= 143, c= 145
result  46 : a=  25, b=  60, c=  65
result  47 : a=  25, b= 312, c= 313
result  48 : a=  26, b= 168, c= 170
result  49 : a=  27, b=  36, c=  45
result  50 : a=  27, b= 120, c= 123
result  51 : a=  27, b= 364, c= 365
result  52 : a=  28, b=  21, c=  35
result  53 : a=  28, b=  45, c=  53
result  54 : a=  28, b=  96, c= 100
result  55 : a=  28, b= 195, c= 197
result  56 : a=  29, b= 420, c= 421
result  57 : a=  30, b=  16, c=  34
